"FirstAuthor","YearOfPublication","StudyName","Design","DesignGroup","Exposure","SpecificFood","FoodSubgroup","SpecificExposureGroup","MotherChildExposure","IfExposureIsCategorialReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureSizeGroup","ExposureCategories","ToReverseReferenceGroup","OutcomeGroup","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotenialConflictOfInterest","Col","Ncases","NumberExposedinCases","NumberNonExposedinCases","NumberExposedinControls","NumberNonExposedinControls","TotalNumberParticpantsWithOutcomesAndExposureDataInExposedGroup","NumberParticipantsWithTheOutcomeInExposed","TotalNumberParticpantsWithOutcomeAndExposureDataInNonExposedGroup","NumberParticipantsWithOutcomeInNonExposed","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Ci(Lower)","955CI(Upper)","Pvalue","Other","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","AdJ95%Ci(Lower)","AdJ95%Ci(Upper)","AdjPValue","FinalEffectMeasureAssociation(OrHrMeanDifference(B))","UnadjInOr(RawNmbersOrUnadjOrRrHr)","UnadjSe(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOr","AdjSe(InOr)","FinalInOr","FinalSe(InOr)","BackcalcUnadjOr","BackcalcUnadjLL95%CI","BackcalcAnadjUL95%CI","BackCalcAdjOr","BackcalcAdjLL95%CI","BackcalcAdjUL95%CI","BackcalcFinalOr","BackcalcFinalLL95%Cl","BackcalcFinalUL95%Cl","FinalEm","FUnadjInOr","FUnadjiSe(InOr)","FAdjInOr","FAdjSe(InOr)","FFinalInOr","FFinalSe(InOr)","FBackcalcUnadjOr","FBackcalcUnadjLL95%Cl","FBackcalcUnadjUL95%Cl","FBackcalcAdjOr","FBackcalcAdjLL95%Cl","FBackcalcAdjUL95%Cl","FBackcalcFinalOr","FBackcalcFinalLL95%Cl","FBackcalcFinalUL95%Cl"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","egg","EGG","MATERNAL EGG INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","food","sIgEfood","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1572","148","566","51","","","","","","","OR","0.9","0.63","1.38","","OR","0.04832845","0.170319097","-0.105360516","0.218083681","-0.105360516","0.218083681","1.049515312","0.751640611","1.465437568","0.9","0.586956522","1.38","0.9","0.586956522","1.38","OR","0.04832845","0.170319097","-0.105360516","0.218083681","-0.105360516","0.218083681","1.049515312","0.751640611","1.465437568","0.9","0.586956522","1.38","0.9","0.586956522","1.38"
"Calvani (FH+)","2006","APAL","retrospective cohort","retrospective","Butter intake pregnancy","butter","ANIMAL- DAIRY- SATURATED","MATERNAL FAT INTAKE","mother-pregnancy-intake","1 time/month or less","2-3 times/wk or more","oftenVSnever-rare","freq(times/week)","2=no","atopic","food","SPTfood","5","any","high","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","1","0.37","2.67","","","OR","0.84","0.26","2.71","","OR","0","0.501060445","-0.174353387","0.597603072","-0.174353387","0.597603072","1","0.374531835","2.67","0.84","0.260369004","2.71","0.84","0.260369004","2.71","OR","0","0.501060445","-0.174353387","0.597603072","-0.174353387","0.597603072","1","0.374531835","2.67","0.84","0.260369004","2.71","0.84","0.260369004","2.71"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Fatty acid","butter","ANIMAL- DAIRY- SATURATED","MATERNAL FAT INTAKE","mother-pregnancy-intake","Low","High maternal intake of butter during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","food","sIgEfood","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1354","122","756","73","","","","","","","OR","0.93","0.6","1.43","","OR","-0.076337681","0.155470797","-0.072570693","0.219512825","-0.072570693","0.219512825","0.926503291","0.683136598","1.256569112","0.93","0.604825175","1.43","0.93","0.604825175","1.43","OR","-0.076337681","0.155470797","-0.072570693","0.219512825","-0.072570693","0.219512825","0.926503291","0.683136598","1.256569112","0.93","0.604825175","1.43","0.93","0.604825175","1.43"
"Nwaru","2010","DIPP","prospective cohort","prospective","Specific food exposures - Maternal [pregnancy]","fat - n6","OMEGA 6- MUFA","MATERNAL FAT INTAKE","mother-pregnancy-intake","2nd and 3rd quartile of n-6 PUFA intake","4th quartile of n-6 PUFA intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","food","SPTfood","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.77","0.5","1.19","","","OR","0.69","0.42","1.13","","OR","-0.261364764","0.222101057","-0.371063681","0.25167414","-0.371063681","0.25167414","0.77","0.498235294","1.19","0.69","0.421327434","1.13","0.69","0.421327434","1.13","OR","-0.261364764","0.222101057","-0.371063681","0.25167414","-0.371063681","0.25167414","0.77","0.498235294","1.19","0.69","0.421327434","1.13","0.69","0.421327434","1.13"
"Calvani","2006","APAL","retrospective cohort","retrospective","Fish intake","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","1 time/month or less","2-3 times/wk or more","oftenVSnever-rare","freq(times/week)","2=no","atopic","food","SPTfood","5","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","","","","","","OR","0.42","0.17","1.02","","OR","","","-0.867500568","0.452705712","-0.867500568","0.452705712","1","1","1","0.42","0.172941176","1.02","0.42","0.172941176","1.02","OR","","","-0.867500568","0.452705712","-0.867500568","0.452705712","1","1","1","0.42","0.172941176","1.02","0.42","0.172941176","1.02"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Fatty acid","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Low","High maternal intake of fish during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","food","sIgEfood","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","664","66","1464","133","","","","","","","OR","1.01","0.69","1.48","","OR","0.099400678","0.158410441","0.009950331","0.194944774","0.009950331","0.194944774","1.104508764","0.809706222","1.506644725","1.01","0.689256757","1.48","1.01","0.689256757","1.48","OR","0.099400678","0.158410441","0.009950331","0.194944774","0.009950331","0.194944774","1.104508764","0.809706222","1.506644725","1.01","0.689256757","1.48","1.01","0.689256757","1.48"
"Nwaru","2010","DIPP","prospective cohort","prospective","Specific food exposures - Maternal [pregnancy]","fat - PUFA","OMEGA 3- PUFA","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","2nd and 3rd quartile of PUFA intake","4th quartile of PUFA intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","food","SPTfood","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.86","0.56","1.32","","","OR","0.81","0.5","1.33","","OR","-0.15082289","0.218599299","-0.210721031","0.253010191","-0.210721031","0.253010191","0.86","0.56030303","1.32","0.81","0.493308271","1.33","0.81","0.493308271","1.33","OR","-0.15082289","0.218599299","-0.210721031","0.253010191","-0.210721031","0.253010191","0.86","0.56030303","1.32","0.81","0.493308271","1.33","0.81","0.493308271","1.33"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","apples","APPLE","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","food","sIgEfood","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","736","71","1402","127","","","","","","","OR","1.01","0.7","1.46","","OR","0.069407208","0.155713185","0.009950331","0.188003115","0.009950331","0.188003115","1.071872595","0.789946044","1.454416879","1.01","0.69869863","1.46","1.01","0.69869863","1.46","OR","0.069407208","0.155713185","0.009950331","0.188003115","0.009950331","0.188003115","1.071872595","0.789946044","1.454416879","1.01","0.69869863","1.46","1.01","0.69869863","1.46"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","yoghurt","PROBIOTIC","MATERNAL PROBIOTIC","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","food","sIgEfood","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1156","104","986","96","","","","","","","OR","0.89","0.62","1.27","","OR","-0.087184223","0.148681596","-0.116533816","0.181403427","-0.116533816","0.181403427","0.916508238","0.684819382","1.226582327","0.89","0.623700787","1.27","0.89","0.623700787","1.27","OR","-0.087184223","0.148681596","-0.116533816","0.181403427","-0.116533816","0.181403427","0.916508238","0.684819382","1.226582327","0.89","0.623700787","1.27","0.89","0.623700787","1.27"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","cabbage","GREEN- LEAFY VEGETABLES","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","food","sIgEfood","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","834","74","1300","126","","","","","","","OR","0.84","0.58","1.22","","OR","-0.097363247","0.153680186","-0.174353387","0.19041033","-0.174353387","0.19041033","0.907226399","0.671274985","1.226114123","0.84","0.578360656","1.22","0.84","0.578360656","1.22","OR","-0.097363247","0.153680186","-0.174353387","0.19041033","-0.174353387","0.19041033","0.907226399","0.671274985","1.226114123","0.84","0.578360656","1.22","0.84","0.578360656","1.22"
"Ellis","2012","CLARITY","case control","retrospective","Specific food exposure - maternal","alcohol","","MATERNAL ALCOHOL INTAKE","mother-pregnancy-intake","no alcohol consumption in pregnancy","Any alcohol during pregnancy","oftenVSnever-rare","yes-no","2=no","autoim","JIA","","0-18","auto","low-normal","Unclear","Unclear-high","Low","Low","246","43","179","82","366","","","","","OR","","","","","","OR  ","0.97","0.44","2.16","","OR","0.069728396","0.209212257","-0.030459207","0.40845277","-0.030459207","0.40845277","1.072216923","0.711537165","1.615726046","0.97","0.435601852","2.16","0.97","0.435601852","2.16","OR","0.069728396","0.209212257","-0.030459207","0.40845277","-0.030459207","0.40845277","1.072216923","0.711537165","1.615726046","0.97","0.435601852","2.16","0.97","0.435601852","2.16"
"Ellis","2012","CLARITY","case control","retrospective","Specific food exposure - maternal","coffee","COFFEE","MATERNAL COFFEE INTAKE","mother-pregnancy-intake","no coffee during pregnancy","Any coffee during pregnancy","oftenVSnever-rare","yes-no","2=no","autoim","JIA","","0-18","auto","low-normal","Unclear","Unclear-high","Low","Low","246","127","93","245","203","","","","","OR","","","","","","OR  ","0.66","0.36","1.22","","OR","0.123535362","0.166236112","-0.415515444","0.313452195","-0.415515444","0.313452195","1.131490015","0.816860114","1.567305874","0.66","0.35704918","1.22","0.66","0.35704918","1.22","OR","0.123535362","0.166236112","-0.415515444","0.313452195","-0.415515444","0.313452195","1.131490015","0.816860114","1.567305874","0.66","0.35704918","1.22","0.66","0.35704918","1.22"
"Ellis","2012","CLARITY","case control","retrospective","fish oil","fish oils","OTHER FISH OILS","MATERNAL FISH OIL SUPPLEMENT","mother-pregnancy-suppl","No fish oil supplementation","Fish oil supplementation","oftenVSnever-rare","yes-no","2=no","autoim","JIA","","0-18","auto","low-normal","Unclear","Unclear-high","Low","Low","246","6","210","26","383","","","","","OR","","","","","","OR  ","0.7","0.15","3.36","","OR","-0.86540961","0.46097839","-0.356674944","0.800314244","-0.356674944","0.800314244","0.420879121","0.170515811","1.038843457","0.7","0.145833333","3.36","0.7","0.145833333","3.36","OR","-0.86540961","0.46097839","-0.356674944","0.800314244","-0.356674944","0.800314244","0.420879121","0.170515811","1.038843457","0.7","0.145833333","3.36","0.7","0.145833333","3.36"
"Kemp","2011","Tasmania Infant Health study (THIS)","prospective cohort","prospective","peanut","allergenic food avoidence (peanut)","NUTS","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","never","ever","oftenVSnever-rare","yes-no","1=yes","atopic","pn","sIgEpn","16","any","low-normal","High","Unclear-high","High","Unclear-High","","","","","","","","","","","","","","","","RR","0.71","0.34","1.49","","RR","","","-0.342490309","0.378197158","-0.342490309","0.378197158","1","1","1","0.71","0.338322148","1.49","0.71","0.338322148","1.49","RR","","","0.342490309","0.378197158","0.342490309","0.378197158","1","1","1","1.408450704","0.67114094","2.955762745","1.408450704","0.67114094","2.955762745"
"Sicherer","2010","The Consortium of Food Allergy Research","prospective cohort","prospective","PEANUT-LACTATION","peanut","NUTS","MATERNAL VEGETABLE INTAKE","mother-lactation-intake","<2",">=2","oftenVSnever-rare","freq(times/week)","2=no","atopic","pn","sIgEpn","1","any","high","Low","Low","High","Unclear-High","","","","","","","","","","OR","1.57","1.02","2.42","","(Additional analyses of peanut specific IgE sensitization (>0.35 kUA/L) andlinear regression modeling was performed. Univariate analyses were also performed for detectable peanutIgE (>0.35 kUA/L)  and results showed similar trends and conclusionsas those for peanut IgE >5 kUA/L.)","","","","","NS","OR","0.451075619","0.220761184","","","0.451075619","0.220761184","1.57","1.018553719","2.42","1","1","1","1.57","1.018553719","2.42","OR","0.451075619","0.220761184","","","0.451075619","0.220761184","1.57","1.018553719","2.42","1","1","1","1.57","1.018553719","2.42"
"Dean","2007","Isle of Wight","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - MATERNAL","allergenic food avoidence (peanut)","NUTS","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","No peanut avoidance during pregnancy","Peanut avoidance during pregnancy","oftenVSnever-rare","yes-no","1=yes","atopic","pn","SPTpn","2","any","low-normal","High","Unclear-high","Low","Low","","","","","","428","10","230","3","OR","","","","","note denominators are estimated based on the total number avoiding/not avoiding peanut in the whole population assessed - only 76% of this population underwent outcome assessment ie spt. I think it is still valid to use these numbers","","","","","","OR","0.593441389","0.663423669","","","0.593441389","0.663423669","1.810207337","0.493185947","6.64424974","1","1","1","1.810207337","0.493185947","6.64424974","OR","-0.593441389","0.663423669","","","-0.593441389","0.663423669","0.552422907","0.150506083","2.027632794","1","1","1","0.552422907","0.150506083","2.027632794"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","honey","HONEY","INFANT CONFECTIONERY INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","1=yes","atopic","RC","","9","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","1.17","0.58","2.34","","","RR","1.31","0.65","2.64","","RR","0.157003749","0.353646521","0.270027137","0.357526418","0.270027137","0.357526418","1.17","0.585","2.34","1.31","0.650037879","2.64","1.31","0.650037879","2.64","RR","-0.157003749","0.353646521","-0.270027137","0.357526418","-0.270027137","0.357526418","0.854700855","0.427350427","1.709401709","0.763358779","0.378787879","1.53837189","0.763358779","0.378787879","1.53837189"
"Kull","2006","BAMSE","prospective cohort","prospective","FISH","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","<=1 time/mo","> =2-3 time/mo","oftenVSnever-rare","freq(times/week)","2=no","atopic","RC","","4","0to4","low-normal","Low","Low","Low","Low","","","","","","2901","261","706","112","","","","","","","OR","0.57","0.45","0.73","","OR","-0.645633341","0.121746781","-0.562118918","0.12622866","-0.562118918","0.12622866","0.524330357","0.413020921","0.665637767","0.57","0.445068493","0.73","0.57","0.445068493","0.73","OR","-0.645633341","0.121746781","-0.562118918","0.12622866","-0.562118918","0.12622866","0.524330357","0.413020921","0.665637767","0.57","0.445068493","0.73","0.57","0.445068493","0.73"
"Magnussonm","2013","BAMSE ","prospective cohort","prospective","FISH","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","<=1 time/mo","> =2-3 time/mo","oftenVSnever-rare","freq(times/week)","2=no","atopic","RC","","12","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","0.78","0.63","0.95","","OR","","","-0.248461359","0.100595951","-0.248461359","0.100595951","","","","0.78","0.640421053","0.95","0.78","0.640421053","0.95","OR","","","-0.248461359","0.100595951","-0.248461359","0.100595951","","","","0.78","0.640421053","0.95","0.78","0.640421053","0.95"
"Alm","2012","Infants of Western Sweden","prospective cohort","prospective","FISH","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","<1",">1","oftenVSnever-rare","freq(times/week)","2=no","atopic","RC","","4","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.43","0.29","0.62","<0.001","","","","","","","OR","-0.84397007","0.186701158","","","-0.84397007","0.186701158","0.43","0.298225806","0.62","","","","0.43","0.298225806","0.62","OR","-0.84397007","0.186701158","","","-0.84397007","0.186701158","0.43","0.298225806","0.62","","","","0.43","0.298225806","0.62"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","fruit syrup","FRUIT JUICE-SYRUP","INFANT FRUIT INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","1=yes","atopic","RC","","9","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","1.17","0.78","1.77","","","RR","1.19","0.78","1.81","","RR","0.157003749","0.211212142","0.173953307","0.213966091","0.173953307","0.213966091","1.17","0.773389831","1.77","1.19","0.782375691","1.81","1.19","0.782375691","1.81","RR","-0.157003749","0.211212142","-0.173953307","0.213966091","-0.173953307","0.213966091","0.854700855","0.564971751","1.293008985","0.840336134","0.552486188","1.278158322","0.840336134","0.552486188","1.278158322"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","Non-milk fluids","ANY NON-MILK FLUID","INFANT NON-MILK FLUID INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","2=no","atopic","RC","","9","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","0.86","0.31","2.38","","","RR","0.84","0.3","2.36","","RR","-0.15082289","0.519348662","-0.174353387","0.527048473","-0.174353387","0.527048473","0.86","0.310756303","2.38","0.84","0.298983051","2.36","0.84","0.298983051","2.36","RR","-0.15082289","0.519348662","-0.174353387","0.527048473","-0.174353387","0.527048473","0.86","0.310756303","2.38","0.84","0.298983051","2.36","0.84","0.298983051","2.36"
"Erkkola","2012","DIPP ","prospective cohort","prospective","cereals during pregnancy","cereal","OTHER- UNCLEAR","MATERNAL CEREAL INTAKE","mother-pregnancy-intake","155.0-246.2","246.2-772.9","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","RC","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","HR","0.92","0.69","1.23","","","HR","0.89","0.62","1.28","","HR","-0.083381609","0.148161111","-0.116533816","0.185405048","-0.116533816","0.185405048","0.92","0.688130081","1.23","0.89","0.618828125","1.28","0.89","0.618828125","1.28","HR","-0.083381609","0.148161111","-0.116533816","0.185405048","-0.116533816","0.185405048","0.92","0.688130081","1.23","0.89","0.618828125","1.28","0.89","0.618828125","1.28"
